央视频道,#genre#
广东公共，http://61.146.224.42:8088/hls/4/index.m3u8
广东公共，http://113.110.72.52:8090/hls/107/index.m3u8
广东公共,http://61.146.224.42:8088/hls/4/index.m3u8
广东公共,http://113.110.72.52:8090/hls/107/index.m3u8
广东公共,http://61.146.224.42:8088/hls/4/index.m3u8
广东公共,http://113.110.72.52:8090/hls/107/index.m3u8
广东公共,http://113.86.205.29:808/hls/107/index.m3u8
广东公共,http://120.84.121.199:808/hls/148/index.m3u8
广东公共,http://61.140.112.110:808/hls/102/index.m3u8
广东公共,http://113.86.206.78:9999/tsfile/live/1036_1.m3u8
广东公共,http://183.237.231.139:9901/tsfile/live/1058_1.m3u8
广东公共,http://116.11.158.91:8181/tsfile/live/1072_1.m3u8
广东公共,http://gmxw.7766.org:808/hls/1/index.m3u8
广东公共,http://171.110.42.48:8181/tsfile/live/1072_1.m3u8
广东公共,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=gdpublic_1500&/PLTV/hls.smil.m3u8
广东公共,http://113.100.193.10:9901/tsfile/live/0017_1.m3u8
广东公共,http://113.117.74.28:8081/hls/27/index.m3u8
广东公共,http://222.217.246.54:8282/tsfile/live/1007_1.m3u8
广东公共,http://219.159.194.219:8181/tsfile/live/1002_1.m3u8
广东公共,http://222.218.158.222:8181/tsfile/live/1002_1.m3u8
广东公共,http://222.218.158.222:8181/tsfile/live/1002_1.m3u8
广东公共,http://222.218.159.162:8181/tsfile/live/1002_1.m3u8
广东公共,http://219.159.194.18:8181/tsfile/live/1002_1.m3u8
广东公共,http://61.140.113.33:808/hls/604/index.m3u8%3D&pserialnumber=63eee104cf9602bf&cid=860&id=gdnews_1500&/PLTV/hls.smil.m3u8 
广东新闻,http://14.29.76.30:9901/tsfile/live/1001_1.m3u8
广东新闻,http://mom.cloudns.be:9901/tsfile/live/1008_1.m3u8
广东新闻,http://61.146.224.42:8088/hls/3/index.m3u8
广东新闻,http://121.33.239.242:9901/tsfile/live/1008_1.m3u8
广东新闻,http://113.87.91.59:9090/live/GDXW/hls.m3u8
广东新闻,http://183.6.110.242:9901/hls/1051/index.m3u8
广东新闻,http://113.110.79.80:8090/hls/106/index.m3u8
广东新闻,http://61.140.112.28:808/hls/113/index.m3u8
广东新闻,http://120.84.121.204:808/hls/124/index.m3u8
广东新闻,http://58.248.84.148:8888/newlive/live/hls/46/live.m3u8
广东新闻,http://113.101.119.52:808/hls/106/index.m3u8
广东新闻,http://lhq-cctv.8866.org:18181/tsfile/live/1023_1.m3u8
广东新闻,http://119.131.240.240:8089/hls/3/index.m3u8
广东新闻,http://ictv.91tv.top:9901/tsfile/live/1013_1.m3u8
广东新闻,http://183.237.231.139:9901/tsfile/live/1057_1.m3u8
广东新闻,http://116.11.158.91:8181/tsfile/live/1073_1.m3u8
广东新闻,http://hodos.ddns.net:8181/tsfile/live/1040_1.m3u8
广东新闻,http://113.100.193.10:9901/tsfile/live/1000_1.m3u8
广东新闻,http://gmxw.7766.org:808/hls/5/index.m3u8
广东新闻,https://php.17186.eu.org/gdtv/xwpd.m3u8
广东新闻,http://171.110.42.48:8181/tsfile/live/1073_1.m3u8
广东新闻,http://14.29.76.30:9901/tsfile/live/1001_1.m3u8
广东新闻,http://mom.cloudns.be:9901/tsfile/live/1008_1.m3u8
